,0
EMPRESA DE TRANSPORTES DE PASAJEROS Y CARGA CAVASSA S.A.C.,1
Empresa de Transportes Turismo Directo Asegurado S.A.C. (TURISMO Dias),1
TRANSPORTE WARI S.A.C.,1
Bahia Buss E.I.R.L.,1
"M & C Enlaces S.A, (M & C)",1
EMPRESA DE TRANSPORTES TURISMO,1
Transportes Wari S.A.C.,1
TURISMO ANITA SERVICE S.A.C.,1
OLANO S.A,1
TRANSPORTES G M INTERNACIONAL S.A.C.,1
ESTRELLAS S.A.C.,1
SECHURA TOURS S.R.LTDA.,1
EMPRESA DE TRANSPORTES ROMY S.A.C.,1
EXPRESO INTERNACIONAL ORMEÑO S.A.,1
EMPRESA DE TRANSPORTES LOS CANARIOS S.R.L.,1
EMPRESA DE TRANSPORTES TURISMO APÓSTOL SAN PEDRO E.I.R.L.,1
CARBOTRANS E.I.R.L.,1
Empresa de Transportes Carhuamayo S.A.C.,1
EMPRESA DE TRANSPORTE TURÍSTICO OLANO,1
Empresa de Transporte Flores Hermanos S.R.L.,1
EMPRESA COMERCIAL DE TRANSPORTES ZELADA S.R.L.,1
EMPRESA DE TRANSPORTE TURÍSTICO OLANO S.A. - OLTURSA,1
Transporte La Marginal SA (Transporte La Marginal),1
Transportes Señor de Puelles S.C.R.L.,1
M & C ENLACES S.A.,1
Empresa de Transportes  Julio César S.R.L.,1
M & C Enlaces S.A.,1
SHALOM EMPRESARIAL S.A.C.,1
PAREDES ESTRELLA – CARGO S.A,1
MERLY ROXANA GUEVARA BARRETO,1
Empresa Romelí S.A.C. (Romelí),1
EMPRESA DE TRANSPORTE INTERPROVINCIAL DE,1
PARAMONGA S.A.,1
EMPRESA DE TRANSPORTES AGREDA E HIJOS,1
TURISMO SAN LUIS DEL SUR E.I.R.L.,1
Turismo Civa (Turismo Civa),1
EMPRESA DE TRANSPORTES TURISMO REAL DEL,1
EXPRESO GRAEL S.A.C.,1
Expreso Cial S.A.,1
EMPRESA DE TRANSPORTES WARIVILCA S.A.,1
Empresa de Transportes Expreso Huamanga S.A.C.,1
EMPRESA DE SERVICIOS TURÍSTICOS LUCHO TOURS S.A.C.,1
INTERNATIONAL MILLENIUM CARGO S.A.C.,1
TURISMO ESPINOZA E.I.R.L.,1
EMPRESA DE TRANSPORTES PAREDES ESTRELLA S.R.L.,1
EMPRESA DE TRANSPORTES Y TURISMO SOL PERUANO S.A.C.,1
Transportes CAVASSA S.A.C,1
SELVA SUR S.R.L. - EXPRESO SELVA SUR,1
BAHÍA BUSS S.A.C.,1
TRANSPORTES GM INTERNACIONAL S.A.C.,1
EMPRESA DE TRANSPORTES DE PASAJEROS Y,1
EXPRESO INTERNACIONAL TERRABÚS PERÚ S.C.R.L.,1
Empresa de Transportes Expreso Internacional Palomino S.A.C.,1
Empresa de transportes Flores Hermanos SRL,1
EMPRESA DE TRANSPORTES SAN CRISTÓBAL DEL SUR E.I.R.L.,1
EMPRESA DE TRANSPORTES EXPRESO HUAMANGA S.A.C.,1
Empresa de Transportes y Representaciones Turismo Central S.A.,1
Expreso Wari S.A.C.,1
EMPRESA DE TRANSPORTES TURISMO TRES ESTRELLAS S.A.C.,1
